trial,target_finger,target_hand,pressed_finger,pressed_hand,timing_ms,press_ms,points,chord_size,cycle
1,l,l,l,l,600,41,3,1,0
2,l,l,x,x,150,,-1,1,1
3,m,l,m,l,450,-84,3,1,2
4,i,l,i,l,800,-100,3,1,3
5,r,l,i,l,150,-36,1,1,4
6,i,l,i,l,150,-83,3,1,5
7,t,l,i,l,450,-83,1,1,6
8,l,l,t,l,225,-36,1,1,7
9,t,l,t,l,150,-6,3,1,8
10,t,l,t,l,450,-37,3,1,9
11,r,l,r,l,600,-5,3,1,10
12,m,l,m,l,600,-114,3,1,11
13,r,l,m,l,150,-53,1,1,12
14,l,l,l,l,450,-36,3,1,13
15,l,l,l,l,600,-52,3,1,14
16,m,l,m,l,600,-21,3,1,15
17,r,l,m,l,450,-22,1,1,16
17,x,x,l,l,450,88,-1,1,16
18,r,l,r,l,225,-68,3,1,17
19,t,l,m,l,150,-52,1,1,18
20,l,l,l,l,450,26,3,1,19
21,r,l,r,l,800,-83,3,1,20
22,t,l,t,l,800,-68,3,1,21
23,t,l,t,l,800,-53,3,1,22
24,t,l,t,l,600,-53,3,1,23
25,m,l,i,l,450,-52,1,1,24
25,x,x,l,l,450,-52,-1,1,24
26,r,l,m,l,450,26,1,1,25
26,x,x,r,l,450,56,-1,1,25
27,t,l,m,l,225,10,1,1,26
28,i,l,t,l,450,-37,1,1,27
29,l,l,i,l,150,11,1,1,28
30,t,l,t,l,800,-99,3,1,29
31,t,l,t,l,800,-68,3,1,30
32,m,l,m,l,600,-69,3,1,31
32,x,x,r,l,600,-36,-1,1,31
33,i,l,i,l,800,-68,3,1,32
34,m,l,i,l,150,-52,1,1,33
35,m,l,m,l,800,-100,3,1,34
36,m,l,m,l,800,-100,3,1,35
37,i,l,m,l,150,-69,1,1,36
38,i,l,m,l,150,-52,1,1,37
39,r,l,i,l,150,-100,1,1,38
40,r,l,r,l,800,-68,3,1,39
41,r,l,r,l,225,-69,3,1,40
42,m,l,m,l,150,-22,3,1,41
43,l,l,m,l,150,-83,1,1,42
44,m,l,m,l,225,-53,3,1,43
45,l,l,l,l,450,26,3,1,44
46,r,l,m,l,225,-52,1,1,45
47,l,l,l,l,800,-37,3,1,46
48,i,l,i,l,450,73,3,1,47
49,t,l,t,l,600,-52,3,1,48
50,i,l,m,l,600,-36,1,1,49
51,i,l,i,l,800,-52,3,1,50
52,m,l,m,l,450,-36,3,1,51
53,t,l,t,l,450,11,3,1,52
54,i,l,m,l,600,-52,1,1,53
55,t,l,t,l,600,-36,3,1,54
56,i,l,t,l,225,41,1,1,55
57,t,l,t,l,225,-147,0,1,56
58,r,l,t,l,150,-53,1,1,57
59,l,l,m,l,225,-99,1,1,58
60,t,l,t,l,450,89,3,1,59
61,r,l,r,l,800,-99,3,1,60
62,i,l,i,l,600,-69,3,1,61
63,m,l,m,l,800,-99,3,1,62
64,t,l,m,l,225,-52,1,1,63
65,r,l,r,l,800,-22,3,1,64
66,t,l,i,l,150,42,1,1,65
66,x,x,t,l,150,57,-1,1,65
67,l,l,t,l,150,26,1,1,66
68,t,l,t,l,225,-36,3,1,67
69,m,l,t,l,450,-36,1,1,68
69,x,x,m,l,450,25,-1,1,68
70,l,l,l,l,800,-84,3,1,69
71,l,l,l,l,600,-147,0,1,70
72,i,l,i,l,600,-36,3,1,71
73,l,l,t,l,225,-69,1,1,72
74,l,l,l,l,800,-114,3,1,73
75,i,l,t,l,150,-69,1,1,74
76,l,l,l,l,450,-22,3,1,75
77,m,l,t,l,150,-5,1,1,76
78,m,l,t,l,225,-99,1,1,77
79,l,l,l,l,800,-114,3,1,78
80,r,l,r,l,450,119,3,1,79
81,r,l,r,l,600,-115,3,1,80
82,m,l,r,l,150,-52,1,1,81
83,i,l,x,x,450,,-1,1,82
84,m,l,t,l,225,-53,1,1,83
85,m,l,m,l,800,-130,0,1,84
86,r,l,m,l,450,-5,1,1,85
86,x,x,r,l,450,73,-1,1,85
87,l,l,l,l,600,-53,3,1,86
88,r,l,m,l,600,-52,1,1,87
89,i,l,r,l,225,-52,1,1,88
90,r,l,r,l,600,-84,3,1,89
91,i,l,r,l,225,-69,1,1,90
92,i,l,i,l,800,-130,0,1,91
93,r,l,i,l,225,-53,1,1,92
94,m,l,r,l,225,-68,1,1,93
95,t,l,m,l,150,-100,1,1,94
96,m,l,m,l,600,-68,3,1,95
97,t,l,i,l,600,-36,1,1,96
97,x,x,t,l,600,11,-1,1,96
98,l,l,t,l,225,-21,1,1,97
99,i,l,t,l,225,-84,1,1,98
100,i,l,r,l,450,73,1,1,99
100,x,x,m,l,450,198,-1,1,99
